title,proposer,postedDate,status,admin,closedDate,lifespan,comments,dynasty
"A couple of those speed ups","jay","05 May  2008 23:08:00","Failed","Yoda","06 May 2008  16:57:54",17,8,54
"Bringing Balance","Yoda","06 May  2008 23:58:01","Enacted","Yoda","08 May 2008  19:30:11",43,8,54
"Mutually Assured Destruction","arthexis","07 May  2008 00:46:00","Enacted","Yoda","08 May 2008  19:43:31",42,10,54
"Easing Travel Restrictions","jay","07 May  2008 01:03:01","Enacted","Yoda","08 May 2008  19:47:51",42,10,54
"Storage Zone","jay","07 May  2008 01:55:00","Enacted","Yoda","08 May 2008  19:52:51",41,10,54
"Sharing FPTs and FFMs","Yoda","07 May  2008 02:24:01","Enacted","Yoda","08 May 2008  19:57:06",41,8,54
"Baguette Maniacs","Oze","07 May  2008 15:18:00","Enacted","Oze","09 May 2008  08:53:47",41,6,54
"Good Henchmen must be Fighting Fit!","Oze","07 May  2008 15:18:00","Failed","Yoda","08 May 2008  19:57:42",28,8,54
"Effects for Weapons","arthexis","08 May  2008 20:13:00","Failed","Ornithopter","09 May 2008  08:56:20",12,7,54
"Weapon Effects","jay","09 May  2008 06:26:00","Failed","Yoda","09 May 2008  16:07:58",9,6,54
"Mass Effects 2","arthexis","09 May  2008 15:33:00","Enacted","Ornithopter","11 May 2008  08:54:50",41,5,54
"I want a custom weapon!","arthexis","09 May  2008 16:56:01","Enacted","Yoda","11 May 2008  19:31:06",50,16,54
"Making Airfare More Affordable","Yoda","09 May  2008 21:11:00","Enacted","Yoda","11 May 2008  19:35:38",46,5,54
"Shadier Politics","Yoda","09 May  2008 21:20:01","Enacted","Yoda","11 May 2008  19:38:25",46,7,54
"Operation: Are there crumbs on my Goatee?","arthexis","10 May  2008 16:24:00","Enacted","Yoda","11 May 2008  19:44:47",27,12,54
"Arsenal activation","jay","11 May  2008 00:49:00","Enacted","Yoda","12 May 2008  05:23:36",28,9,54
"Dueling","jay","11 May  2008 21:31:00","Illegal","Purplebeard","12 May 2008  02:13:50",4,5,54
"Time Limit on Research","Yoda","12 May  2008 02:46:01","Failed","?","14 May 2008  08:36:05",53,5,54
"[Evil] Gifts From the Public Treasury","Yoda","12 May  2008 16:31:01","Enacted","Yoda","14 May 2008  11:00:27",42,27,54
"Accidental Doomsday","jay","13 May  2008 17:50:00","Enacted","?","15 May 2008  14:22:04",44,3,54
"The Overlord Needs An Evil Companion In His Old Age","jay","15 May  2008 23:48:00","Enacted","?","19 May 2008  10:02:51",82,8,54
"[Evil] Weary Traveler","jay","16 May  2008 07:31:00","Failed","?","19 May 2008  10:02:33",74,5,54
"Mobsters and Might","Rodlen","16 May  2008 16:36:00","Enacted","?","19 May 2008  10:04:33",65,4,54
"request promotion to evil admin","Darknight","19 May  2008 22:09:00","Enacted","?","20 May 2008  14:06:54",15,7,54
"Crawling","arthexis","20 May  2008 02:36:00","Failed","?","20 May 2008  14:10:35",11,7,54
"Tidying up some changesâ€¦.Rule 1.1","Amnistar","20 May  2008 05:59:00","Enacted","?","20 May 2008  14:13:47",8,6,54
"Tidying up some changesâ€¦.Rule 1.2","Amnistar","20 May  2008 06:08:00","Enacted","?","20 May 2008  14:16:27",8,5,54
"No, mr. Dynasty. I expect you to die.","Purplebeard","20 May  2008 12:04:00","Enacted","?","20 May 2008  14:17:32",2,8,54
"Compromise","Rodlen","21 May  2008 22:14:00","Vetoed","Purplebeard","22 May 2008  02:08:06",3,7,55
"No more foolish craziness","Rodlen","21 May  2008 22:24:01","Enacted","?","22 May 2008  07:18:10",8,12,55
"We need something to accomplish our mission with","arthexis","22 May  2008 00:21:01","Enacted","?","22 May 2008  07:20:10",6,7,55
"Compromise v2","Rodlen","22 May  2008 00:42:00","Vetoed","?","22 May 2008  07:22:04",6,6,55
"That the heck is that thing?","arthexis","22 May  2008 01:09:01","Enacted","?","22 May 2008  07:30:22",6,7,55
"Donâ€™t Compromise","Ornithopter","22 May  2008 01:24:00","Vetoed","?","22 May 2008  07:33:41",6,9,55
"For More Than Just the Ruleset","Yoda","22 May  2008 02:54:01","Enacted","?","22 May 2008  08:00:26",5,10,55
"Ranking","Amnistar","22 May  2008 03:05:00","Enacted","?","22 May 2008  08:37:30",5,11,55
"A Little more Fleshed out fun!","Amnistar","22 May  2008 05:56:01","Enacted","Darknight","22 May 2008  10:50:10",4,8,55
"Purplebeardâ€¦","Rodlen","22 May  2008 14:38:01","Enacted","?","22 May 2008  21:06:56",6,9,55
"What lies in the future?","arthexis","22 May  2008 14:48:01","Enacted","?","24 May 2008  08:59:25",42,7,55
"EnergEZ","Rodlen","22 May  2008 15:46:00","Vetoed","?","24 May 2008  09:03:39",41,11,55
"Letâ€™s make our way off this silly planet (Spacecraft)","Devenger","22 May  2008 16:26:00","Enacted","?","24 May 2008  09:04:53",40,14,55
"Color Schemes Are Not Gamestate","Yoda","22 May  2008 21:20:01","Enacted","Yoda","24 May 2008  17:50:36",44,10,55
"Please take a moment to familiarize yourself with your new Dimensional Rift Container","arthexis","23 May  2008 01:20:00","Vetoed","Yoda","24 May 2008  17:51:21",40,10,55
"Another Pass at the DRC","Yoda","23 May  2008 13:10:00","Enacted","Yoda","25 May 2008  06:26:49",41,10,55
"Spacecraft Equipment","Rodlen","23 May  2008 14:01:01","Enacted","?","25 May 2008  09:51:18",43,14,55
"Han Solo Shot First","jay","24 May  2008 05:55:01","Vetoed","?","25 May 2008  10:40:06",28,11,55
"Filling out Stuff","arthexis","24 May  2008 17:45:01","Vetoed","?","25 May 2008  10:41:12",16,10,55
"Care to sign for this sir?","Darknight","25 May  2008 05:34:00","Enacted","Darknight","25 May 2008  13:49:07",8,6,55
"Tracking Members Tech and stuff","Amnistar","25 May  2008 05:57:00","Enacted","?","27 May 2008  08:42:11",50,7,55
"What does this button do?","Darknight","25 May  2008 06:26:00","Vetoed","?","27 May 2008  08:48:33",50,7,55
"Now, letâ€™s try something else","arthexis","25 May  2008 15:04:00","Enacted","?","27 May 2008  08:50:22",41,12,55
"Youâ€™re such a flatlander","arthexis","25 May  2008 18:38:00","Enacted","?","27 May 2008  08:57:24",38,8,55
"This Dynasty Just Keeps Getting Planar and Planar","Yoda","26 May  2008 01:35:00","Failed","Yoda","27 May 2008  18:40:15",41,9,55
"Activate Administrator: jay","jay","26 May  2008 04:18:00","Enacted","Yoda","27 May 2008  18:47:36",38,8,55
"To the death!","Rodlen","26 May  2008 15:49:00","Failed","Yoda","28 May 2008  10:16:53",42,11,55
"Oops.","Rodlen","26 May  2008 16:55:00","Enacted","Yoda","28 May 2008  10:19:22",41,5,55
"A Few Fixes","Yoda","28 May  2008 03:34:00","Enacted","Yoda","28 May 2008  10:47:29",7,10,55
"Making it easier to track commander changes","Amnistar","28 May  2008 04:29:00","Enacted","Yoda","28 May 2008  10:49:37",6,7,55
"Amazing Technicolor Energy","Oze","28 May  2008 08:58:01","Enacted","Yoda","28 May 2008  15:02:42",6,7,55
"Making up more stuff","arthexis","28 May  2008 17:09:01","Enacted","Yoda","29 May 2008  07:18:34",14,7,55
"Pilot to Bombadier!Â  I Repeat, Pilot to Bombadier!","Yoda","28 May  2008 20:11:00","Enacted","?","29 May 2008  08:43:58",12,11,55
"Warning: Needless Veto Alert","Rodlen","28 May  2008 21:01:00","Vetoed","?","29 May 2008  08:52:55",11,2,55
"Keywords","Rodlen","29 May  2008 01:24:00","Enacted","?","29 May 2008  08:53:32",7,7,55
"One More Thing","Yoda","29 May  2008 03:09:00","Enacted","?","29 May 2008  08:54:28",5,6,55
"Letâ€™s get some more Organizations.","Amnistar","29 May  2008 10:39:00","Enacted","Yoda","29 May 2008  16:55:45",6,7,55
"Fixing tech ownership holes up","Devenger","29 May  2008 11:22:00","Vetoed","Yoda","29 May 2008  16:57:15",5,10,55
"Boom again!","Rodlen","29 May  2008 15:55:00","Enacted","Yoda","29 May 2008  20:56:59",5,9,55
"Management Continues","Rodlen","29 May  2008 18:27:00","Enacted","Yoda","30 May 2008  05:48:51",11,5,55
"More Bombadiers = More Bombs","Yoda","29 May  2008 21:04:01","Enacted","Yoda","30 May 2008  05:53:28",8,6,55
"Tastes like chicken","arthexis","29 May  2008 23:50:01","Vetoed","Yoda","30 May 2008  05:54:38",6,3,55
"Stop the yelling","Rodlen","30 May  2008 04:16:01","Failed","Yoda","30 May 2008  16:51:31",12,11,55
"Tech Ownership Correction Take 2","Devenger","30 May  2008 08:49:00","Enacted","Yoda","30 May 2008  16:57:00",8,9,55
"Dossiers are not just for pilots","Yoda","30 May  2008 14:11:00","Enacted","?","30 May 2008  20:18:21",6,5,55
"Defining Metadynasties","Yoda","30 May  2008 14:15:00","Enacted","?","30 May 2008  20:20:55",6,8,55
"Training Regimens","Yoda","31 May  2008 03:57:01","Enacted","Yoda","31 May 2008  10:45:58",6,6,55
"Bomb Go Boom!","Yoda","31 May  2008 17:47:00","Vetoed","?","31 May 2008  11:02:12",6,1,55
"New Organization","Rodlen","31 May  2008 17:59:00","Enacted","?","01 Jun 2008  07:21:16",13,5,55
"Owners","Rodlen","31 May  2008 18:13:00","Enacted","?","01 Jun 2008  07:24:14",13,6,55
"Ownership","Yoda","01 Jun  2008 00:19:00","Enacted","?","01 Jun 2008  07:25:11",7,4,55
"Spice me up","arthexis","02 Jun  2008 02:54:00","Enacted","Yoda","02 Jun 2008  09:18:32",6,8,55
"Fxin Xprence","Yoda","02 Jun  2008 16:23:00","Enacted","jay","03 Jun 2008  11:30:38",19,7,55
"Spacecraft Equipment Expansion (and Equipping)","Devenger","02 Jun  2008 16:23:01","Failed","jay","02 Jun 2008  22:30:40",6,8,55
"Keep it going, or elseâ€¦","Yoda","02 Jun  2008 16:26:00","Vetoed","jay","03 Jun 2008  11:37:20",19,4,55
"Space Planar Cowboys","arthexis","03 Jun  2008 13:53:00","Enacted","jay","06 Jun 2008  14:56:48",73,14,55
"Fixing the Spacecraft Register","Yoda","03 Jun  2008 21:59:01","Enacted","jay","06 Jun 2008  15:04:18",65,9,55
"Synchronize your Clocks","arthexis","04 Jun  2008 00:28:00","Enacted","jay","06 Jun 2008  15:11:11",62,9,55
"Canâ€™t cope with this","Devenger","04 Jun  2008 09:19:00","Vetoed","jay","06 Jun 2008  15:14:07",53,7,55
"Trivial Proposals.","Amnistar","04 Jun  2008 13:47:00","Enacted","jay","06 Jun 2008  15:15:12",49,11,55
"A Way to Receive a Special Title","Yoda","04 Jun  2008 18:25:02","Enacted","jay","06 Jun 2008  15:18:21",44,6,55
"Explicit Spacecraft Equipment Equipping Rules","Devenger","06 Jun  2008 07:23:00","Enacted","jay","06 Jun 2008  22:09:25",14,9,55
"Flavor + Functionality = Better For All","Yoda","07 Jun  2008 14:16:00","Enacted","Yoda","09 Jun 2008  07:34:02",41,7,55
"Space Planar Cowboys, Take 2","Yoda","08 Jun  2008 18:56:00","Enacted","Yoda","09 Jun 2008  13:12:14",18,7,55
"Race to the Finish!","arthexis","09 Jun  2008 18:25:01","Failed","Yoda","10 Jun 2008  16:29:38",22,12,55
"Lightsaber Duels, Part 1","Yoda","10 Jun  2008 19:52:01","Enacted","?","11 Jun 2008  09:12:37",13,12,55
"One Less Step + Fixing Skills","Yoda","10 Jun  2008 20:43:00","Enacted","Yoda","11 Jun 2008  12:36:21",15,8,55
"Secondary effect of rule 2.8 Boom","Zeofar","11 Jun  2008 04:58:00","Vetoed","Yoda","11 Jun 2008  12:36:57",7,5,55
"Expansion of the Metadynastic Entity","Zeofar","11 Jun  2008 05:27:00","Failed","Darknight","12 Jun 2008  23:24:25",41,5,55
"Spacecraft Battles, Act I Take I","Devenger","11 Jun  2008 17:35:00","Enacted","Darknight","13 Jun 2008  22:23:57",52,7,55
"Skill or No Skill (Trivial)","Yoda","11 Jun  2008 19:37:00","Enacted","?","14 Jun 2008  08:07:30",60,9,55
"Base 10","Rodlen","14 Jun  2008 19:39:00","Enacted","?","16 Jun 2008  11:59:37",40,8,55
"The Strengthening","jay","14 Jun  2008 20:17:01","Failed","?","16 Jun 2008  12:04:09",39,3,55
"Spacecraft Battles, Act II Take I","Devenger","15 Jun  2008 09:44:01","Enacted","Yoda","17 Jun 2008  08:57:14",47,6,55
"Lightsaber Duels, Part 2","Yoda","15 Jun  2008 19:43:00","Enacted","Yoda","17 Jun 2008  08:59:41",37,6,55
"GNDT passwords (trivial)","Rodlen","17 Jun  2008 16:19:00","Enacted","?","17 Jun 2008  22:04:57",5,4,55
"Make Containment always a gamble","Devenger","17 Jun  2008 16:21:00","Enacted","?","18 Jun 2008  08:46:21",16,5,55
"Trivial Experience by Trivial Success","Yoda","17 Jun  2008 18:13:00","Enacted","Yoda","19 Jun 2008  05:19:26",35,5,55
"Lightsaber Duels, Part 3","Yoda","17 Jun  2008 18:25:00","Enacted","Yoda","19 Jun 2008  05:23:43",34,6,55
"Return of the Boom (trivial)","Rodlen","18 Jun  2008 16:09:00","Enacted","Yoda","19 Jun 2008  05:25:39",13,6,55
"Trivial Commander Duels","Yoda","18 Jun  2008 18:18:00","Illegal","Yoda","18 Jun 2008  11:22:53",6,0,55
"Trivial Commander Duel Fix","Devenger","18 Jun  2008 19:28:00","Enacted","Yoda","19 Jun 2008  05:27:32",9,4,55
"More things to be opposed to","Devenger","19 Jun  2008 07:44:01","Enacted","Yoda","20 Jun 2008  06:20:46",22,10,55
"Lightsaber Duels, Part 4","Yoda","19 Jun  2008 12:44:00","Enacted","Yoda","20 Jun 2008  06:53:18",18,6,55
"Continuing Spacebattles","Rodlen","19 Jun  2008 16:53:00","Failed","Yoda","20 Jun 2008  06:54:15",14,8,55
"Second Attempt at addition to rule 2.8 Boom","Zeofar","20 Jun  2008 06:41:00","Enacted","Yoda","21 Jun 2008  12:48:40",30,6,55
"Lightsaber Duels, Part 5","Yoda","20 Jun  2008 14:27:00","Enacted","?","25 Jun 2008  19:08:20",124,8,55
"Taking the Guesswork out of Training","Yoda","21 Jun  2008 20:59:01","Failed","?","25 Jun 2008  19:13:56",94,9,55
"Hurry up","Oze","25 Jun  2008 18:46:00","Vetoed","?","25 Jun 2008  19:45:34",0,10,55
"Wow.","Rodlen","26 Jun  2008 02:12:01","Enacted","Yoda","26 Jun 2008  17:26:39",15,11,55
"Trivial time again","arthexis","26 Jun  2008 19:55:00","Enacted","Devenger","27 Jun 2008  01:31:56",5,5,55
"Deja Vu, Not Just a Movie Starring Denzel Washingonâ€¦","Yoda","27 Jun  2008 02:46:01","Enacted","Oze","28 Jun 2008  01:01:29",22,17,55
"Defining â€œadd a ruleâ€","jay","29 Jun  2008 18:51:01","Vetoed","jay","29 Jun 2008  15:12:01",3,6,55
"Hiatus addition","Rodlen","30 Jun  2008 14:09:00","Enacted","Yoda","02 Jul 2008  07:32:04",41,6,55
"Trivial Trolling","Yoda","30 Jun  2008 15:31:00","Vetoed","Yoda","02 Jul 2008  07:32:44",40,5,55
"Lemurification","Oze","01 Jul  2008 19:08:00","Enacted","Yoda","02 Jul 2008  20:18:11",25,6,55
"Ignore","Oze","01 Jul  2008 19:08:00","Vetoed","Yoda","02 Jul 2008  07:33:35",12,5,55
"No Limit to the Fun (Trivial)","Yoda","02 Jul  2008 02:12:00","Enacted","Devenger","02 Jul 2008  20:18:46",18,8,55
"Loophole plugging","Rodlen","02 Jul  2008 21:30:00","Vetoed","Oze","03 Jul 2008  09:50:22",12,5,55
"Attack of the Lemurs","Rodlen","04 Jul  2008 14:07:00","Enacted","?","05 Jul 2008  08:08:05",18,5,55
"Dud bomb","Darknight","07 Jul  2008 03:34:01","Failed","Yoda","07 Jul 2008  07:14:25",3,5,55
"A grand test of Heroism (with the obligatory Lemur pun)","Bucky","08 Jul  2008 04:54:01","Vetoed","?","07 Jul 2008  22:46:55",6,11,55
"Devengerâ€¦","Rodlen","08 Jul  2008 05:27:00","Enacted","Yoda","08 Jul 2008  10:36:06",5,8,55
"More heroic Lemurs","Bucky","08 Jul  2008 05:30:00","Vetoed","Yoda","08 Jul 2008  10:36:49",5,14,55
"Testingâ€¦ 1, 2, 3","Yoda","08 Jul  2008 17:51:01","Vetoed","Yoda","09 Jul 2008  05:22:20",11,6,55
"Back through the portal!","Rodlen","08 Jul  2008 18:48:00","Vetoed","Yoda","09 Jul 2008  05:22:48",10,2,55
"The G-Man of Blognomic","Yoda","09 Jul  2008 12:24:01","Enacted","Darknight","09 Jul 2008  17:58:12",5,8,56
"Finding the Chosen One","Yoda","09 Jul  2008 12:33:00","Enacted","Darknight","09 Jul 2008  18:05:54",5,12,56
"More like â€œChaotic Awesomeâ€","Clucky","09 Jul  2008 15:37:00","Enacted","Yoda","10 Jul 2008  07:36:46",15,10,56
"A challenger has appeared","Amnistar","09 Jul  2008 19:40:00","Failed","Yoda","10 Jul 2008  07:39:51",11,8,56
"Itâ€™s not Nomic without Gnomes","Bucky","09 Jul  2008 22:51:00","Enacted","Clucky","10 Jul 2008  17:16:56",18,11,56
"A challenger has appeared v2","Amnistar","09 Jul  2008 23:14:01","Enacted","Clucky","10 Jul 2008  17:23:05",18,10,56
"Its not Nomic without Economics","Clucky","10 Jul  2008 00:38:00","Enacted","Clucky","10 Jul 2008  17:26:53",16,11,56
"Babies are not Monsters, even though they may act like them sometimesâ€¦","Yoda","10 Jul  2008 04:05:01","Illegal","Clucky","10 Jul 2008  04:34:23",0,1,56
"Skills First, Then Levels","Yoda","10 Jul  2008 04:12:00","Illegal","Yoda","10 Jul 2008  03:58:53",0,5,56
"Errata #129","Bucky","10 Jul  2008 14:45:00","Enacted","jay","10 Jul 2008  20:33:35",5,13,56
"Spite","Clucky","10 Jul  2008 17:48:00","Failed","Yoda","10 Jul 2008  21:21:22",3,11,56
"Phasing inâ€¦","Oze","10 Jul  2008 19:49:00","Enacted","Oze","11 Jul 2008  04:17:16",8,10,56
"Remove Cluckyâ€™s administrator access","jay","10 Jul  2008 23:39:00","Vetoed","Yoda","11 Jul 2008  08:53:54",9,20,56
"Send in the clones","Clucky","11 Jul  2008 01:01:00","Failed","jay","11 Jul 2008  17:26:46",16,8,56
"This Nomic is so classy!","arthexis","11 Jul  2008 02:12:00","Enacted","?","11 Jul 2008  19:26:50",17,9,56
"Its the Chaotic Neutral way","Bucky","11 Jul  2008 02:15:01","Failed","Amnistar","11 Jul 2008  20:45:11",18,17,56
"Letâ€™s spice things up a bit","Amnistar","11 Jul  2008 02:36:00","Failed","Amnistar","11 Jul 2008  20:46:27",18,7,56
"Letâ€™s Try This Again #1","Yoda","11 Jul  2008 03:46:00","Enacted","?","12 Jul 2008  21:14:27",41,5,56
"Letâ€™s Try This Again #2","Yoda","11 Jul  2008 03:47:01","Enacted","?","12 Jul 2008  21:15:40",41,7,56
"Character Sheets","Amnistar","11 Jul  2008 16:48:00","Enacted","Clucky","14 Jul 2008  04:48:36",60,13,56
"Revenge of the Eco-Gnomes","Bucky","11 Jul  2008 23:21:00","Enacted","Clucky","14 Jul 2008  04:55:22",53,7,56
"Letâ€™s cut the confustion","Bucky","11 Jul  2008 23:24:00","Enacted","Clucky","14 Jul 2008  04:56:29",53,13,56
"Annoying Darknight","Rodlen","12 Jul  2008 03:51:00","Vetoed","Clucky","14 Jul 2008  05:00:12",49,10,56
"Generic Proposal Title","Clucky","12 Jul  2008 17:00:00","Failed","?","14 Jul 2008  11:06:19",42,17,56
"Official Beginning","Yoda","13 Jul  2008 04:55:00","Enacted","Yoda","14 Jul 2008  13:45:16",32,7,56
"Lets get this party started","arthexis","13 Jul  2008 08:34:00","Failed","Yoda","14 Jul 2008  13:49:39",29,11,56
"I thought I proposed this already","Clucky","13 Jul  2008 16:51:01","Enacted","?","15 Jul 2008  10:02:07",41,11,56
"Canâ€™t we all just get along?","Yoda","14 Jul  2008 02:03:00","Vetoed","?","15 Jul 2008  10:03:37",32,24,56
"Nighttime Monsters","Rodlen","14 Jul  2008 19:24:00","Failed","?","15 Jul 2008  10:04:58",14,15,56
"Descriptions and History","Yoda","14 Jul  2008 22:09:00","Failed","Yoda","15 Jul 2008  20:28:46",22,8,56
"Return of the Nighttime Monsters","Rodlen","15 Jul  2008 01:31:00","Enacted","Yoda","15 Jul 2008  20:32:25",19,7,56
"Attributions where they are due.","Bucky","15 Jul  2008 02:10:00","Enacted","Yoda","16 Jul 2008  14:39:34",36,16,56
"Because of the ways rules are designed","Amnistar","15 Jul  2008 22:59:00","Enacted","Yoda","17 Jul 2008  09:49:22",34,13,56
"Descriptions and History, Take 2","Yoda","16 Jul  2008 03:25:00","Enacted","Yoda","17 Jul 2008  09:51:58",30,6,56
"Generic Monsters/Puzzles","Yoda","16 Jul  2008 14:54:01","Enacted","Yoda","18 Jul 2008  07:54:06",41,14,56
"Letâ€™s get some skills adde","Amnistar","16 Jul  2008 16:06:01","Enacted","Yoda","18 Jul 2008  07:55:31",39,14,56
"+3 ring of defense","Chivalrybean","16 Jul  2008 16:43:00","Vetoed","Yoda","18 Jul 2008  07:56:19",39,10,56
"Proper items","Darknight","16 Jul  2008 22:44:00","Vetoed","Yoda","18 Jul 2008  07:58:58",33,6,56
"Iâ€™m Hungry (fo real)","Clucky","17 Jul  2008 00:58:00","Enacted","Clucky","18 Jul 2008  20:19:21",43,15,56
"Items, Take 3","Yoda","17 Jul  2008 23:57:00","Enacted","Yoda","19 Jul 2008  06:54:04",30,11,56
"This is handy!","Chivalrybean","18 Jul  2008 05:42:00","Enacted","Yoda","20 Jul 2008  14:34:15",56,7,56
"Ouch! That Hurts!","Yoda","18 Jul  2008 15:20:00","Failed","Yoda","20 Jul 2008  14:35:11",47,12,56
"Flavor Text","Rodlen","19 Jul  2008 17:52:01","Vetoed","Yoda","21 Jul 2008  08:09:11",38,12,56
"HP or Not HP","Yoda","20 Jul  2008 03:12:01","Enacted","Yoda","21 Jul 2008  20:52:02",41,15,56
"The real way to flee","Bucky","20 Jul  2008 15:59:00","Enacted","Yoda","22 Jul 2008  11:42:07",43,8,56
"We all need food every now and then","Yoda","20 Jul  2008 21:37:00","Enacted","Yoda","22 Jul 2008  15:33:22",41,7,56
"HP, and how!","Chivalrybean","20 Jul  2008 21:55:01","Failed","Yoda","22 Jul 2008  15:36:41",41,3,56
"HP, and Howâ€™s that again?","Chivalrybean","20 Jul  2008 23:59:00","Enacted","Yoda","22 Jul 2008  19:02:52",43,4,56
"I has a flavor!","Clucky","21 Jul  2008 13:21:00","Enacted","Yoda","23 Jul 2008  06:29:22",41,6,56
"Arm thy self","Darknight","21 Jul  2008 22:41:00","Failed","Yoda","23 Jul 2008  06:29:59",31,8,56
"Arise!","Yoda","22 Jul  2008 03:52:00","Failed","Yoda","23 Jul 2008  06:31:43",26,4,56
"Arise! Take 2","Yoda","23 Jul  2008 12:23:00","Enacted","Clucky","25 Jul 2008  07:51:40",43,4,56
"I put on my robe and my wizard hat","Clucky","23 Jul  2008 12:43:01","Enacted","Amnistar","25 Jul 2008  07:53:04",43,11,56
"I need my robe, or else I feelâ€¦ exposed.","Yoda","23 Jul  2008 13:33:00","Enacted","Clucky","25 Jul 2008  07:57:46",42,9,56
"Excuse me professor, does this class have a purpose?","Clucky","23 Jul  2008 15:10:00","Failed","Clucky","25 Jul 2008  07:58:30",40,23,56
"OK class, pop quiz","Darknight","23 Jul  2008 22:26:00","Failed","Darknight","25 Jul 2008  19:38:36",45,18,56
"The shop is open.","Bucky","24 Jul  2008 23:18:00","Enacted","Yoda","25 Jul 2008  19:58:56",20,6,56
"Instant Class-ic","Clucky","25 Jul  2008 14:58:01","Enacted","?","27 Jul 2008  09:06:40",42,7,56
"Various Money Making Tools","Yoda","25 Jul  2008 15:01:00","Failed","?","27 Jul 2008  09:13:43",42,11,56
"Jokes Over","Clucky","25 Jul  2008 15:08:00","Enacted","?","27 Jul 2008  09:14:49",42,8,56
"The Last Piece in the Combat Puzzle","Yoda","25 Jul  2008 16:04:00","Enacted","?","27 Jul 2008  09:20:59",41,10,56
"Hunting Party - Get","Amnistar","26 Jul  2008 03:44:00","Failed","?","27 Jul 2008  10:50:34",31,4,56
"Your money or your life","Bucky","27 Jul  2008 13:54:00","Enacted","Yoda","28 Jul 2008  07:05:28",17,6,56
"Join Blognomic, see the world","Bucky","27 Jul  2008 17:42:00","Enacted","Clucky","29 Jul 2008  11:40:45",41,10,56
"All But the Store","Yoda","27 Jul  2008 23:55:00","Enacted","Clucky","29 Jul 2008  18:14:06",42,5,56
"Thogâ€™s not monster Bob well, technically he isâ€¦","Clucky","28 Jul  2008 14:46:00","Vetoed","Clucky","29 Jul 2008  18:17:21",27,7,56
"We canâ€™t fight but we dodge just fine.","Bucky","29 Jul  2008 00:22:00","Enacted","Yoda","30 Jul 2008  15:23:59",39,6,56
"We Triumph Together","Chivalrybean","29 Jul  2008 02:07:01","Failed","Yoda","30 Jul 2008  15:25:46",37,6,56
"Some Minor Clarification","Yoda","29 Jul  2008 14:12:00","Enacted","Yoda","30 Jul 2008  15:27:06",25,5,56
"Fine, but Thogs still not a monster","Clucky","29 Jul  2008 14:56:00","Failed","Yoda","31 Jul 2008  08:42:08",41,9,56
"Six Rare Rings","Bucky","30 Jul  2008 01:58:00","Enacted","Yoda","31 Jul 2008  08:49:56",30,7,56
"Armor Roulette","Bucky","31 Jul  2008 02:20:01","Failed","Yoda","02 Aug 2008  15:54:16",61,6,56
"The Store is Back in Business","Yoda","31 Jul  2008 19:02:00","Enacted","Yoda","02 Aug 2008  15:56:51",44,5,56
"Thy deeds will be remembered","Bucky","02 Aug  2008 23:09:00","Failed","Yoda","04 Aug 2008  06:20:43",31,8,56
"Letting it down easy","Yoda","04 Aug  2008 00:03:00","Enacted","Yoda","04 Aug 2008  06:22:43",6,20,57
"Itâ€™s Election Year!","Amnistar","05 Aug  2008 01:36:00","Failed","?","04 Aug 2008  20:25:07",5,2,57
"You canâ€™t win without votes","Amnistar","05 Aug  2008 01:38:01","Failed","?","04 Aug 2008  20:24:49",5,3,57
"Election Time","Amnistar","05 Aug  2008 03:24:00","Failed","Amnistar","04 Aug 2008  21:22:04",6,3,57
"Supporters not Votes","Amnistar","05 Aug  2008 04:20:00","Enacted","?","05 Aug 2008  09:56:58",5,4,57
"Gaining and losing Supporters, and Amni sucks at proposals. Thanks for not voting :(","Amnistar","05 Aug  2008 04:21:01","Enacted","Clucky","07 Aug 2008  03:57:12",47,5,57
"Mr. President, let me help propose this.Â  You donâ€™t need any help.","Beane","05 Aug  2008 04:42:01","Failed","Clucky","07 Aug 2008  04:00:00",47,2,57
"You sir, are no Jack Kennedy","Beane","05 Aug  2008 07:23:01","Vetoed","Clucky","07 Aug 2008  04:02:08",44,6,57
"Show me the moneys","Clucky","05 Aug  2008 17:49:00","Enacted","Clucky","07 Aug 2008  04:02:57",34,8,57
"Letâ€™s do it again","Bucky","06 Aug  2008 01:25:00","Enacted","Clucky","11 Aug 2008  07:28:02",126,10,57
"How be this?","Clucky","06 Aug  2008 18:59:00","Failed","Clucky","11 Aug 2008  08:09:03",109,5,57
"Debeating on the internetâ€¦ lol!","Clucky","07 Aug  2008 11:05:01","Enacted","?","11 Aug 2008  08:10:01",93,3,57
"Letâ€™s get more money involvede","Amnistar","07 Aug  2008 16:06:00","Enacted","?","11 Aug 2008  09:09:12",89,6,57
"Itâ€™s not Partisan if itâ€™s everyone for emself","Thrawn","11 Aug  2008 15:36:00","Failed","Clucky","13 Aug 2008  09:16:23",41,11,57
"Waffling","Bucky","12 Aug  2008 13:29:00","Enacted","?","14 Aug 2008  06:42:25",41,6,57
"Clean up","Clucky","12 Aug  2008 13:59:00","Failed","Darknight","14 Aug 2008  12:35:48",46,10,57
"Partisan, Take 2","Thrawn","13 Aug  2008 23:25:00","Failed","Darknight","16 Aug 2008  10:16:20",58,6,57
"Clarity (trivial)","Bucky","15 Aug  2008 04:34:01","Enacted","?","16 Aug 2008  22:10:38",41,7,57
